subject_id,story_id,frame_idx,timestamp_s,speech,landmarks,transcript,raw_face,target
1,1,0,0.0,-1.9528665825728353,-0.20767528730905438,-0.07555645656555829,-0.2789953969417651,0.0
1,1,1,0.04,-1.35403713087128,-0.20767528730905438,0.06766264272778466,-0.2712763771567305,0.2
1,1,2,0.08,-0.9000958478258381,-0.20767528730905438,0.11225844050854493,-0.3461918422681183,0.2
1,1,3,0.12,-0.6093067698521141,-0.20767528730905438,0.2016339018030446,-0.38088834204515115,0.2
1,1,4,0.16,-0.47092937734899276,0.46043805562144513,0.25657301955362377,-0.40329761789545326,0.5999999999999999
1,1,5,0.2,-0.08925381849018317,0.20884093365158413,0.42407650238172545,-0.5549480925201861,1.0
1,1,6,0.24,0.020042247416478073,0.022026068171617244,0.5337016240167047,-0.7867772796313646,1.0
1,1,7,0.28,-0.050568176872753404,-0.08364820569166605,0.6141289407274158,-0.8879620745112944,1.0
1,1,8,0.32,-0.16752868093205636,-0.17137142160519683,0.501626623446697,-1.041727156970637,1.0
1,1,9,0.36,-0.30112126817902146,-0.9213037865026736,0.2397659649480509,-0.9837510610817616,0.0
1,1,10,0.4,-0.36546721316149755,-0.7649744522226827,0.012537895896537508,-0.85056381202672,0.0
1,1,11,0.44,-0.4052869560555186,-0.6405066120611793,-0.1838023464165276,-0.687568466772288,0.0
1,1,12,0.48,-0.442419518328292,-0.5928379320720238,-0.31638816525445673,-0.5827455502452841,0.0
1,1,13,0.52,-0.5434075351946309,-0.4672828740966384,-0.2075524356015462,-0.4288438568822687,0.0
1,1,14,0.56,-0.7779351360583627,-0.35133100376193893,0.033353333690286036,-0.4355088973516366,0.0
1,1,15,0.6,-1.2825252306785815,-0.25951729922480893,0.33522611459800916,-0.5444093068185597,0.0
1,1,16,0.64,-1.8507200661086696,-0.32250555583760754,0.6707682562777966,-0.7683225972804283,0.0
1,1,17,0.68,-2.404421457405325,-0.5157630967336261,0.9249637893183876,-1.1363563209987422,0.0
1,1,18,0.72,-2.8387553240548966,-0.7507201761313028,1.195565215365324,-1.2665951924265517,0.0
1,1,19,0.76,-3.0312050753284803,-0.9793869957043693,1.1447542047637156,-1.593535913039866,0.0
1,1,20,0.8,-2.7985342708426733,-1.1407034163945506,0.7147580502361346,-1.6935525839478889,0.0
1,1,21,0.84,-2.2946592994309882,-1.1014525811548594,0.5148712748837475,-1.6283896261761772,0.0
1,1,22,0.88,-1.7002093463906365,-0.9857470288933994,0.31051558870509693,-1.4454689559989398,0.0
1,1,23,0.92,-1.4357862301244977,-0.8890264672613625,-0.008776128456250648,-1.4736912776642805,0.0
1,1,24,0.96,-1.33934303157875,-0.8211804160923267,0.13423739388569322,-1.3997055525128004,0.0
